Approval Date,Drug Name,Submission,Active Ingredients,Sponsor
01/01/2020,PHOTOFRINNDA   #020451,SUPPL-29,PORFIMER SODIUM,PINNACLE BIOLGS
01/01/2020,PHOTOFRINNDA   #021525,SUPPL-5,PORFIMER SODIUM,AXCAN SCANDIPHARM
01/01/2020,LONSURFNDA   #207981,SUPPL-9,TIPIRACIL HYDROCHLORIDE; TRIFLURIDINE,TAIHO ONCOLOGY
01/02/2020,RAPAMUNENDA   #021083,SUPPL-67,SIROLIMUS,PF PRISM CV
01/02/2020,RAPAMUNENDA   #021110,SUPPL-85,SIROLIMUS,PF PRISM CV
01/02/2020,WARFARIN SODIUMANDA  #040145,SUPPL-60,WARFARIN SODIUM,BARR
01/02/2020,WARFARIN SODIUMANDA  #040145,SUPPL-61,WARFARIN SODIUM,BARR
01/02/2020,WARFARIN SODIUMANDA  #040145,SUPPL-64,WARFARIN SODIUM,BARR
01/02/2020,WARFARIN SODIUMANDA  #040145,SUPPL-65,WARFARIN SODIUM,BARR
01/02/2020,NEVIRAPINEANDA  #078195,SUPPL-13,NEVIRAPINE,STRIDES PHARMA
01/02/2020,DONEPEZIL HYDROCHLORIDEANDA  #090175,SUPPL-8,DONEPEZIL HYDROCHLORIDE,ZYDUS PHARMS USA INC
01/02/2020,RASAGILINE MESYLATEANDA  #201889,SUPPL-3,RASAGILINE MESYLATE,ALKEM LABS LTD
01/02/2020,RASAGILINE MESYLATEANDA  #201970,SUPPL-1,RASAGILINE MESYLATE,ORBION PHARMS
01/02/2020,RASAGILINE MESYLATEANDA  #201970,SUPPL-4,RASAGILINE MESYLATE,ORBION PHARMS
01/02/2020,RASAGILINE MESYLATEANDA  #201971,SUPPL-3,RASAGILINE MESYLATE,AUROBINDO PHARMA USA
01/02/2020,MESALAMINEANDA  #210509,ORIG-1,MESALAMINE,AMNEAL
01/02/2020,DEFERASIROXANDA  #211641,ORIG-1,DEFERASIROX,SUN PHARM
01/03/2020,DIVALPROEX SODIUMANDA  #077567,SUPPL-14,DIVALPROEX SODIUM,MYLAN
01/03/2020,DIVALPROEX SODIUMANDA  #077567,SUPPL-17,DIVALPROEX SODIUM,MYLAN
01/03/2020,DIVALPROEX SODIUMANDA  #077567,SUPPL-19,DIVALPROEX SODIUM,MYLAN
01/03/2020,DIVALPROEX SODIUMANDA  #077567,SUPPL-20,DIVALPROEX SODIUM,MYLAN
01/03/2020,DIVALPROEX SODIUMANDA  #077567,SUPPL-24,DIVALPROEX SODIUM,MYLAN
01/03/2020,DIVALPROEX SODIUMANDA  #077567,SUPPL-26,DIVALPROEX SODIUM,MYLAN
01/03/2020,DIVALPROEX SODIUMANDA  #078182,SUPPL-13,DIVALPROEX SODIUM,UPSHER SMITH LABS
01/03/2020,DIVALPROEX SODIUMANDA  #078182,SUPPL-14,DIVALPROEX SODIUM,UPSHER SMITH LABS
